A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F;F;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;H;H;H;H;H;H;H;H;H;H;I;I;I;I;I;I;I;I;I;I
0;1;0;1;1;1;0;0;1;0;0;0;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;1;0;1;1;;;;;;;;;;;;;;;;;;;;
0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;1;1;0;0;0;;;;;;;;;;;;;;;;;;;;
0;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;1;1;0;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;
0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;1;0;1;1;1;0;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;
1;1;0;1;1;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;;;;;;;;;;;;;;;;;;;;
1;0;0;1;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;1;1;0;1;1;;;;;;;;;;;;;;;;;;;;
0;1;1;0;0;1;1;0;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;0;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
0;1;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
0;1;0;1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;
0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;
0;1;0;0;0;0;1;1;0;0;1;0;1;1;0;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1;1;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;;;;;;;;;;;;;;;;;;;;
0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;1;0;0;1;1;0;1;0;1;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;1;0;0;1;0;;;;;;;;;;;;;;;;;;;;
0;1;0;1;1;0;0;1;1;1;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;1;1;1;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;
0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;0;1;0;0;1;0;0;0;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;;;;;;;;;;;;;;;;;;;;
0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;1;0;0;0;1;1;0;1;0;1;1;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;;;;;;;;;;;;;;;;;;;;
0;1;0;0;1;0;1;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;
0;1;0;0;1;1;0;1;1;1;1;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1;1;1;1;1;0;0;0;0;1;1;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;;;;;;;;;;;;;;;;;;;;
1;1;0;1;1;1;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;1;0;1;1;1;1;1;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;1;;;;;;;;;;;;;;;;;;;;
0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;
0;1;1;1;1;1;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;1;;;;;;;;;;;;;;;;;;;;
1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;1;;;;;;;;;;;;;;;;;;;;
0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;1;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1;0;1;1;1;0;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;
0;1;1;1;1;0;0;1;1;1;1;1;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0;1;1;0;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1;0;0;1;1;0;1;0;0;0;1;1;1;0;0;0;1;1;0;0;1;0;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;
