questions,intelligence,answer
You tend to get along well with most people you meet and enjoy working as a team.,Interpersonal intelligence,yes
You tend to get along well with most people you meet and enjoy working as a team.,Interpersonal intelligence,no
You learn musical notes quickly and/or enjoy composing songs,musical intelligence,yes
You learn musical notes quickly and/or enjoy composing songs,musical intelligence,no
You enjoy reading books and/or articles on a regular basis,linguistic intelligence,yes
You enjoy reading books and/or articles on a regular basis,linguistic intelligence,no
"You are easy to understand and apply concepts related to geometry, such as angles, shapes and spatial structures.",spatial intelligence,yes
"You are easy to understand and apply concepts related to geometry, such as angles, shapes and spatial structures.",spatial intelligence,no
"You enjoy expressing yourself through movement, whether dancing, acting, or doing artistic activities that involve your body.",kinesthetic intelligence,yes
"You enjoy expressing yourself through movement, whether dancing, acting, or doing artistic activities that involve your body.",kinesthetic intelligence,no
"When listening to music, do you recognize notes, tones, rhythms and patterns?",musical intelligence,yes
"When listening to music, do you recognize notes, tones, rhythms and patterns?",musical intelligence,no
"You enjoy solving puzzles, mazes, or games that require thinking in spatial terms",spatial intelligence,yes
"You enjoy solving puzzles, mazes, or games that require thinking in spatial terms",spatial intelligence,no
You have outstanding skills in physical activities or sports that require coordination and body control,kinesthetic intelligence,yes
You have outstanding skills in physical activities or sports that require coordination and body control,kinesthetic intelligence,no
You are aware of your own emotions and how they affect you in your daily life,Intrapersonal intelligence,yes
You are aware of your own emotions and how they affect you in your daily life,Intrapersonal intelligence,no
Do you express yourself clearly when communicating orally or in writing?,linguistic intelligence,yes
Do you express yourself clearly when communicating orally or in writing?,linguistic intelligence,no
"Do you offer help to sick, elderly people or friends?",Interpersonal intelligence,yes
"Do you offer help to sick, elderly people or friends?",Interpersonal intelligence,no
Do you know how to play a musical instrument or have you ever sung in public?,musical intelligence,yes
Do you know how to play a musical instrument or have you ever sung in public?,musical intelligence,no
Do you like working with numbers and performing mental calculations quickly and accurately?,mathematical intelligence,yes
Do you like working with numbers and performing mental calculations quickly and accurately?,mathematical intelligence,no
"Do you have the ease of understanding and applying mathematical concepts such as algebra, geometry and statistics?",mathematical intelligence,yes
"Do you have the ease of understanding and applying mathematical concepts such as algebra, geometry and statistics?",mathematical intelligence,no
"Have you demonstrated outstanding skills in activities such as drawing, graphic design, or sculpture?",spatial intelligence,yes
"Have you demonstrated outstanding skills in activities such as drawing, graphic design, or sculpture?",spatial intelligence,no
"Do you easily identify patterns, relationships and numerical sequences?",mathematical intelligence,yes
"Do you easily identify patterns, relationships and numerical sequences?",mathematical intelligence,no
"Are you clear about your long-term personal goals and objectives, and do you follow an action plan to achieve them?",Intrapersonal intelligence,yes
"Are you clear about your long-term personal goals and objectives, and do you follow an action plan to achieve them?",Intrapersonal intelligence,no
Can you handle stress and challenging situations effectively?,Intrapersonal intelligence,yes
Can you handle stress and challenging situations effectively?,Intrapersonal intelligence,no
"Do you enjoy writing stories, poetry or song lyrics?",linguistic intelligence,yes
"Do you enjoy writing stories, poetry or song lyrics?",linguistic intelligence,no
Do you find it easy to imitate other people's movements or gestures accurately?,kinesthetic intelligence,yes
Do you find it easy to imitate other people's movements or gestures accurately?,kinesthetic intelligence,no
Do you find it easy to understand the emotions and feelings of others?,Interpersonal intelligence,yes
Do you find it easy to understand the emotions and feelings of others?,Interpersonal intelligence,no
Do you exercise or do physical work,kinesthetic intelligence,yes
Do you exercise or do physical work,kinesthetic intelligence,no
"Would you like to do some of these activities: technical drawing, hairdressing, carpentry, repair, artistic projects",spatial intelligence,yes
"Would you like to do some of these activities: technical drawing, hairdressing, carpentry, repair, artistic projects",spatial intelligence,no
Are you a good negotiator and do you find it easy to make deals with people?,linguistic intelligence,yes
Are you a good negotiator and do you find it easy to make deals with people?,linguistic intelligence,no
"Do you enjoy playing puzzle games, solving strategies, playing cards or chess?",mathematical intelligence,yes
"Do you enjoy playing puzzle games, solving strategies, playing cards or chess?",mathematical intelligence,no
You think you have musical talent or skill that you have never been able to develop,musical intelligence,yes
You think you have musical talent or skill that you have never been able to develop,musical intelligence,no
"Do you enjoy planning your personal goals, for example using agendas and/or schedules?",Intrapersonal intelligence,yes
"Do you enjoy planning your personal goals, for example using agendas and/or schedules?",Intrapersonal intelligence,no
Do your friends or family members often come to you to talk about their personal concerns or ask for advice?,Interpersonal intelligence,yes
Do your friends or family members often come to you to talk about their personal concerns or ask for advice?,Interpersonal intelligence,no